Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
862616687,767633,153,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"vecAdd(const float *, const float *, float *, int)"
863385153,534101,154,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"scaleKernel(const float *, float *, float, int)"
863920214,533846,155,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"copyKernel(const float *, float *, int)"
864455052,767441,156,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"vecAdd(const float *, const float *, float *, int)"
865223389,534165,157,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"scaleKernel(const float *, float *, float, int)"
865758994,534134,158,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"copyKernel(const float *, float *, int)"
866294152,767729,159,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"vecAdd(const float *, const float *, float *, int)"
867062745,533910,160,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"scaleKernel(const float *, float *, float, int)"
867597647,534230,161,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"copyKernel(const float *, float *, int)"
868132868,767601,162,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"vecAdd(const float *, const float *, float *, int)"
868901334,534133,163,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"scaleKernel(const float *, float *, float, int)"
869436811,534390,164,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"copyKernel(const float *, float *, int)"
869972129,767345,165,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"vecAdd(const float *, const float *, float *, int)"
870740274,533846,166,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"scaleKernel(const float *, float *, float, int)"
871275111,534230,167,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"copyKernel(const float *, float *, int)"
871810333,767473,168,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"vecAdd(const float *, const float *, float *, int)"
872578766,534198,169,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"scaleKernel(const float *, float *, float, int)"
873113988,534357,170,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"copyKernel(const float *, float *, int)"
873649273,767377,171,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"vecAdd(const float *, const float *, float *, int)"
874417450,534070,172,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"scaleKernel(const float *, float *, float, int)"
874953120,534230,173,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"copyKernel(const float *, float *, int)"
875488277,767282,174,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"vecAdd(const float *, const float *, float *, int)"
876256391,534261,175,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"scaleKernel(const float *, float *, float, int)"
876791676,534134,176,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"copyKernel(const float *, float *, int)"
877326674,767537,177,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"vecAdd(const float *, const float *, float *, int)"
878095043,533910,178,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"scaleKernel(const float *, float *, float, int)"
878630104,534262,179,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"copyKernel(const float *, float *, int)"
879165294,767409,180,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"vecAdd(const float *, const float *, float *, int)"
879933695,533910,181,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"scaleKernel(const float *, float *, float, int)"
