Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
1406702152,5100060,315,,,,,,,,,,67.109,13153.337,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
1411810692,5434167,316,,,,,,,,,,67.109,12348.031,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
1417247387,5558100,317,,,,,,,,,,67.109,12012.487,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
1422812879,774704,318,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"vecAdd(const float *, const float *, float *, int)"
1423588192,547733,319,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"scaleKernel(const float *, float *, float, int)"
1424136597,546901,320,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"copyKernel(const float *, float *, int)"
1424684458,5099357,321,,,,,,,,,,67.109,13153.337,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
1429794855,5440374,322,,,,,,,,,,67.109,12280.922,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
1435236573,5558484,323,,,,,,,,,,67.109,12012.487,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
1440803153,774097,324,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"vecAdd(const float *, const float *, float *, int)"
1441577922,546485,325,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"scaleKernel(const float *, float *, float, int)"
1442125367,547350,326,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"copyKernel(const float *, float *, int)"
1442679917,5097725,327,,,,,,,,,,67.109,13153.337,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
1447789577,5438007,328,,,,,,,,,,67.109,12280.922,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
1453230432,5544148,329,,,,,,,,,,67.109,12079.596,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
1458779124,774449,330,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"vecAdd(const float *, const float *, float *, int)"
1459554149,547061,331,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"scaleKernel(const float *, float *, float, int)"
1460101786,546678,332,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"copyKernel(const float *, float *, int)"
1460649743,5098206,333,,,,,,,,,,67.109,13153.337,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
1465756300,5441399,334,,,,,,,,,,67.109,12280.922,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
1471199042,5551285,335,,,,,,,,,,67.109,12079.596,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
1476760247,774033,336,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"vecAdd(const float *, const float *, float *, int)"
1477534920,547253,337,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"scaleKernel(const float *, float *, float, int)"
1478082749,546549,338,65536,1,1,256,1,1,16,0.000,0.000,,,,,Tesla T4 (0),1,,13,"copyKernel(const float *, float *, int)"
1478633682,5099005,339,,,,,,,,,,67.109,13153.337,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
