Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
753980559,68095,300,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
754053773,639924,301,,,,,,,,,,8.389,13103.006,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
754705057,689618,302,,,,,,,,,,8.389,12163.482,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
755403860,66398,304,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
755473778,644915,305,,,,,,,,,,8.389,13002.342,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
756124261,685811,306,,,,,,,,,,8.389,12230.590,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
756813784,68351,308,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
756890198,640980,309,,,,,,,,,,8.389,13086.228,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
757538410,686227,310,,,,,,,,,,8.389,12222.202,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
758235581,66974,312,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
